01702119000179 71241301000155 "AVENIDA PREFEITO DILERMANDO OLIVEIRA 45 CONCEICAO DO RIO VERDE MG BRASIL"
01728702000159 07364977000137 "RODOVIA DOS BANDEIRANTES S/N ITANHANDU MG BRASIL"
01758639000101 09265033000138 "RUA DOS BRANDOES 231 PASSOS MG BRASIL"
01758639000101 09666624000117 "RUA DOS BRANDOES 231 PASSOS MG BRASIL"
01804286000120 00372370000150 "AVENIDA WENCESLAU BRAZ 2222 POCOS DE CALDAS MG BRASIL"
01804286000120 09326779000104 "AVENIDA WENCESLAU BRAZ 2222 POCOS DE CALDAS MG BRASIL"
01822722000194 02279774000129 "RUA DOMINGOS INACIO 11 RIO POMBA MG BRASIL"
01830328000106 05382200000170 "RUA DJALMA TORRES 337 UNAI MG BRASIL"
01837166000120 06189529000181 "AVENIDA OSCAR CAETANO 1734 SAO FRANCISCO MG BRASIL"
01837166000120 19543435000100 "AVENIDA OSCAR CAETANO 1734 SAO FRANCISCO MG BRASIL"
01843692000100 22074960000139 "RUA CAPIVARI 632 BELO HORIZONTE MG BRASIL"
01844555000506 25750068000208 "RODOVIA MG-238 S/N SETE LAGOAS MG BRASIL"
01866908000498 01866908000145 "AVENIDA JOAQUIM JOSE DINIZ 787 BELO HORIZONTE MG BRASIL"
01871506000139 12862354000124 "FAZENDA BOCAINA S/N ARCOS MG BRASIL"
01887890000168 06309689000117 "AVENIDA AUSTRALIA 1616 UBERLANDIA MG BRASIL"
01887890000168 12249880000113 "AVENIDA AUSTRALIA 1616 UBERLANDIA MG BRASIL"
01899419000190 08265680000187 "RUA LAURO SODRE NOGUEIRA 293 RIBEIRAO DAS NEVES MG BRASIL"
01899419000190 26825176000176 "RUA LAURO SODRE NOGUEIRA 293 RIBEIRAO DAS NEVES MG BRASIL"
01918078000152 08545316000170 "AVENIDA RAJA GABAGLIA 4859 BELO HORIZONTE MG BRASIL"
01918078000152 13391806000108 "AVENIDA RAJA GABAGLIA 4859 BELO HORIZONTE MG BRASIL"
01918078000152 27740311000143 "AVENIDA RAJA GABAGLIA 4859 BELO HORIZONTE MG BRASIL"
01925756000104 07054830000140 "AVENIDA SAO JOAO BATISTA 258 SAO JOAO DO MANHUACU MG BRASIL"
01925756000104 27089406000149 "AVENIDA SAO JOAO BATISTA 258 SAO JOAO DO MANHUACU MG BRASIL"
01940590000103 05869900000193 "AVENIDA INDUSTRIAL 107 SANTA BARBARA MG BRASIL"
01948919000174 21623038000190 "RUA TEIXEIRA DE FREITAS 478 BELO HORIZONTE MG BRASIL"
01985366000391 05439635000456 "RODOVIA ANTONIO HEIL S/N ITAJAI SC BRASIL"
02031867000130 07795128000138 "RUA JOAO RIBEIRO 372 BELO HORIZONTE MG BRASIL"
02035026000109 02035026000281 "RUA JOAO MACIEL 22 TURMALINA MG BRASIL"
02080363000100 14563520000117 "RUA PREFEITO OSMAR VIEIRA BRAGA 38 RIO CASCA MG BRASIL"
02089242000129 16650003000100 "PRACA CHAMPAGNAT 29 VARGINHA MG BRASIL"
02089242000129 23131342000146 "PRACA CHAMPAGNAT 29 VARGINHA MG BRASIL"
02094271000189 11451932000177 "AVENIDA PARANA 2848 CURITIBA PR BRASIL"
02096772000102 09207009000142 "RUA DOUTOR OLINTO DE ABREU 58 ABRE CAMPO MG BRASIL"
02116141000108 20210162000161 "RODOVIA BR 262 SN MANHUACU MG BRASIL"
02116141000108 21488957000107 "RODOVIA BR 262 SN MANHUACU MG BRASIL"
02116141000108 24169887000104 "RODOVIA BR 262 SN MANHUACU MG BRASIL"
02132735000102 21904452000178 "RUA SEFISA LARANJO RESTIER 23 OLIVEIRA MG BRASIL"
02146795000176 08703804000169 "PRACA JOSE BATISTA 168 MONTEZUMA MG BRASIL"
02178938000121 02235332000180 "AVENIDA CASTELO BRANCO 19 CARAI MG BRASIL"
02193427000189 24225653000137 "RODOVIA PREFEITO JOAO BRAZ 145 SAO DOMINGOS DO PRATA MG BRASIL"
02197264000102 23869137000182 "RUA CONEGO LAFAIETE 792 SAO SEBASTIAO DO MARANHAO MG BRASIL"
02197805000100 26071910000159 "RUA AURELIANO PRADO 780 PARAGUACU MG BRASIL"
02206202000110 28466826000160 "RUA PRIMEIRO DE MAIO 111 ALVORADA DE MINAS MG BRASIL"
02233514000112 27639371000174 "RUA AURELIO ROSA 28 COROMANDEL MG BRASIL"
02235332000180 02178938000121 "AVENIDA CASTELO BRANCO 19 CARAI MG BRASIL"
